Date,PortfolioAccumulatedYield
2015-12-01,0.0
2015-12-02,0.0005244231148535672
2015-12-03,0.004929872906014543
2015-12-04,0.0036861554631979487
2015-12-07,0.006541676445085187
2015-12-08,0.003212984201885094
2015-12-09,0.002268833367232048
2015-12-10,0.00280943414049295
2015-12-11,0.0016429908293946749
2015-12-14,0.002566269183551073
2015-12-15,0.0029713859762210415
2015-12-16,0.004175969478854125
2015-12-17,0.008845047978617737
2015-12-18,0.008880976897236659
2015-12-21,0.01265080800101992
2015-12-22,0.01430561928002616
2015-12-23,0.013304392716987357
2015-12-24,0.014058253336102222
2015-12-25,0.014591194376911698
2015-12-28,0.009706052477632454
2015-12-29,0.011139497521144293
2015-12-30,0.012625078988040883
2015-12-31,0.010196504905656711
2016-01-04,-0.004212736410630136
2016-01-05,-0.007753315569381969
2016-01-06,-0.004896216338866721
2016-01-07,-0.019186782971490013
2016-01-08,-0.016670876911188626
2016-01-11,-0.026573665445666417
2016-01-12,-0.023476880528103816
2016-01-13,-0.02687625378167935
2016-01-14,-0.019993410791873
2016-01-15,-0.032687328711271335
2016-01-18,-0.03252679003832204
2016-01-19,-0.033802964897462706
2016-01-20,-0.04246760148865725
2016-01-21,-0.04800571248160024
2016-01-22,-0.04497145108155376
2016-01-25,-0.059747650358838
2016-01-26,-0.07193200562327406
2016-01-27,-0.07311674450867989
2016-01-28,-0.07770305457449578
2016-01-29,-0.07132976742097918
2016-02-01,-0.0726039748828301
2016-02-02,-0.06683459530152347
2016-02-03,-0.0658142297855927
2016-02-04,-0.0623074746455522
2016-02-05,-0.06415224024040278
2016-02-15,-0.06345283955115633
2016-02-16,-0.054980179757886716
2016-02-17,-0.052387223328413834
2016-02-18,-0.05196493160483817
2016-02-19,-0.051731625264835324
2016-02-22,-0.04937865685968412
2016-02-23,-0.050622277536555904
2016-02-24,-0.051555901970308016
2016-02-25,-0.06327554393664858
2016-02-26,-0.0633051036592136
2016-02-29,-0.07120773279518855
2016-03-01,-0.0638143332989044
2016-03-02,-0.054320763549713935
2016-03-03,-0.05585333219512323
2016-03-04,-0.061509207383141695
2016-03-07,-0.05794365582916616
2016-03-08,-0.05511620022046371
2016-03-09,-0.05797915647243301
2016-03-10,-0.06059114908707752
2016-03-11,-0.06047894102541096
2016-03-14,-0.054311914131730865
2016-03-15,-0.05547342315371895
2016-03-16,-0.05656181096998336
2016-03-17,-0.049439640768013215
2016-03-18,-0.040577964482568785
2016-03-21,-0.03622086387637957
2016-03-22,-0.03664360772968489
2016-03-23,-0.0352568134714798
2016-03-24,-0.03768840735556178
2016-03-25,-0.03747037616950255
2016-03-28,-0.03906477831948019
2016-03-29,-0.04281489975347652
2016-03-30,-0.036463952601665905
2016-03-31,-0.03723405205928909
2016-04-01,-0.038625250513485754
2016-04-05,-0.03235272246476628
2016-04-06,-0.03125715598915402
2016-04-07,-0.03461779342167215
2016-04-08,-0.03643015958795648
2016-04-11,-0.03193244816887131
2016-04-12,-0.03380924474782543
2016-04-13,-0.030766218339687845
2016-04-14,-0.02993294894277776
2016-04-15,-0.032637944640156014
2016-04-18,-0.03515130822817769
2016-04-19,-0.035336941163851
2016-04-20,-0.04325792197327483
2016-04-21,-0.0458193911752699
2016-04-22,-0.04528557609960271
2016-04-25,-0.0468374839841913
2016-04-26,-0.04590813959693396
2016-04-27,-0.04634780962044582
2016-04-28,-0.04603060603304587
2016-04-29,-0.04665572956541786
2016-05-03,-0.04009233199285833
2016-05-04,-0.0402414238925477
2016-05-05,-0.039337754165153394
2016-05-06,-0.04549760334510722
2016-05-09,-0.05120456200790868
2016-05-10,-0.05050912361382798
2016-05-11,-0.05118213390264659
2016-05-12,-0.0505639269826228
2016-05-13,-0.05095375034758365
2016-05-16,-0.04824152706107132
2016-05-17,-0.04805647182852413
2016-05-18,-0.053015029736888875
2016-05-19,-0.05340497198144478
2016-05-20,-0.05126083646482904
2016-05-23,-0.0492737453800659
2016-05-24,-0.0506725327577775
2016-05-25,-0.051160624374104735
2016-05-26,-0.050171804368273176
2016-05-27,-0.050819012284602616
2016-05-30,-0.051373186755506284
2016-05-31,-0.043415072356141504
2016-06-01,-0.07523695826266352
2016-06-02,-0.07478434550052437
2016-06-03,-0.07399025393142633
2016-06-06,-0.07312104160284416
2016-06-07,-0.07630512869322759
2016-06-08,-0.07621595493202082
2016-06-13,-0.08080013748033543
2016-06-14,-0.07983591251764932
2016-06-15,-0.07576123806266921
2016-06-16,-0.07694691017270727
2016-06-17,-0.07563685058458547
2016-06-20,-0.07472615284402484
2016-06-21,-0.07621794964935014
2016-06-22,-0.07401486797930568
2016-06-23,-0.07378406652742875
2016-06-24,-0.07545308518897276
2016-06-27,-0.07258187518958803
2016-06-28,-0.07108950711895834
2016-06-29,-0.06955516334337686
2016-06-30,-0.069281302966266
2016-07-01,-0.06856859239887758
2016-07-04,-0.0640545586115201
2016-07-05,-0.0636089222761983
2016-07-06,-0.06250647825591604
2016-07-07,-0.062134894073716085
2016-07-08,-0.06229993863175043
2016-07-11,-0.06286508752852438
2016-07-12,-0.060483329601748737
2016-07-13,-0.05754108109709466
2016-07-14,-0.058277697219870195
2016-07-15,-0.05843412055564845
2016-07-18,-0.05951519704720942
2016-07-19,-0.05927660723106376
2016-07-20,-0.058652230398439476
2016-07-21,-0.05625612439511596
2016-07-22,-0.05793394064381785
2016-07-25,-0.05788735197902806
2016-07-26,-0.055094154976899845
2016-07-27,-0.06072471221877962
2016-07-28,-0.06051590430707354
2016-07-29,-0.06290084917215288
2016-08-01,-0.06527216229186183
2016-08-02,-0.06444677045820113
2016-08-03,-0.06286642348373195
2016-08-04,-0.060946066351003636
2016-08-05,-0.060580899402874144
2016-08-08,-0.05794105994304122
2016-08-09,-0.05634162543192067
2016-08-10,-0.05601305969003678
2016-08-11,-0.05661211552624901
2016-08-12,-0.053637485755446135
2016-08-15,-0.045005654395771755
2016-08-16,-0.043631444784283824
2016-08-17,-0.044038951749692634
2016-08-18,-0.04292522776306529
2016-08-19,-0.04327061481128691
2016-08-22,-0.04658034871023409
2016-08-23,-0.04778083072118766
2016-08-24,-0.048940943584153795
2016-08-25,-0.049157706494249
2016-08-26,-0.04768833416403395
2016-08-29,-0.04736335307017314
2016-08-30,-0.047615153339687244
2016-08-31,-0.04730165452993462
2016-09-01,-0.01141204882282687
2016-09-02,-0.012096159896930025
2016-09-05,-0.010958153792866243
2016-09-06,-0.009492434323870036
2016-09-07,-0.010588851598397175
2016-09-08,-0.010089170914006518
2016-09-09,-0.010860636826855341
2016-09-12,-0.014784141775699644
2016-09-13,-0.014835414794118096
2016-09-14,-0.01547190929859199
2016-09-19,-0.013368529321951983
2016-09-20,-0.012916049267744922
2016-09-21,-0.013295089384964154
2016-09-22,-0.011051318585419079
2016-09-23,-0.010279198992934502
2016-09-26,-0.013844014004384952
2016-09-27,-0.012981239896667995
2016-09-28,-0.013140628147377154
2016-09-29,-0.012578249931294527
2016-09-30,-0.010904138778374817
2016-10-10,-0.0050404341689637144
2016-10-11,-0.004018478451934926
2016-10-12,-0.004153786684992777
2016-10-13,-0.0041248165324571096
2016-10-14,-0.003379623765551232
2016-10-17,-0.0037990670355493306
2016-10-18,-4.1634553424207965e-05
2016-10-19,2.629266074127834e-05
2016-10-20,0.0013967562761487695
2016-10-21,-0.005833798114720068
2016-10-24,-0.002158340656770563
2016-10-25,0.0004491856964412566
2016-10-26,-0.003975310329692783
2016-10-27,-0.00509184009474084
2016-10-28,-0.004819579384691353
2016-10-31,-0.0055195353602782715
2016-11-01,-0.005243550547710973
