Date,090002.OF,165509.OF,161216.OF
2012-01-04,1.0161,0.988,0.997
2012-01-05,1.0163,0.987,0.997
2012-01-06,1.0178,0.988,0.997
2012-01-09,1.0206,0.989,0.997
2012-01-10,1.0235,0.99,0.999
2012-01-11,1.0216,0.989,0.998
2012-01-12,1.0234,0.991,0.999
2012-01-13,1.0223,0.99,0.998
2012-01-16,1.0101,0.986,0.996
2012-01-17,1.0121,0.988,0.998
2012-01-18,1.0104,0.987,0.997
2012-01-19,1.0131,0.988,0.999
2012-01-20,1.014,0.99,1.0
2012-01-30,1.0139,0.991,1.0
2012-01-31,1.0139,0.991,1.002
2012-02-01,1.0134,0.991,1.002
2012-02-02,1.0149,0.991,1.002
2012-02-03,1.0158,0.991,1.001
2012-02-06,1.0154,0.991,1.001
2012-02-07,1.0131,0.991,1.0
2012-02-08,1.0135,0.991,1.0
2012-02-09,1.0126,0.991,0.999
2012-02-10,1.0119,0.992,0.999
2012-02-13,1.0116,0.992,1.0
2012-02-14,1.0115,0.991,1.0
2012-02-15,1.0114,0.992,1.0
2012-02-16,1.0106,0.993,1.0
2012-02-17,1.0099,0.993,1.001
2012-02-20,1.0117,0.995,1.003
2012-02-21,1.0111,0.995,1.004
2012-02-22,1.0112,0.995,1.003
2012-02-23,1.0112,0.996,1.004
2012-02-24,1.0116,0.998,1.005
2012-02-27,1.0107,0.999,1.005
2012-02-28,1.0107,0.999,1.004
2012-02-29,1.01,0.999,1.003
2012-03-01,1.0098,0.999,1.003
2012-03-02,1.0116,1.001,1.005
2012-03-05,1.0106,1.001,1.005
2012-03-06,1.0107,1.002,1.005
2012-03-07,1.0108,1.003,1.005
2012-03-08,1.012,1.004,1.006
2012-03-09,1.012,1.007,1.007
2012-03-12,1.012,1.008,1.008
2012-03-13,1.0128,1.008,1.007
2012-03-14,1.0115,1.007,1.006
2012-03-15,1.0116,1.007,1.008
2012-03-16,1.0127,1.009,1.01
2012-03-19,1.0136,1.01,1.012
2012-03-20,1.0128,1.01,1.012
2012-03-21,1.0124,1.01,1.013
2012-03-22,1.0131,1.011,1.013
2012-03-23,1.0137,1.011,1.014
2012-03-26,1.0138,1.012,1.015
2012-03-27,1.0135,1.012,1.015
2012-03-28,1.0132,1.012,1.015
2012-03-29,1.0128,1.013,1.014
