Date,000217.OF,000071.OF,096001.OF,162411.OF
2012-01-04,,,0.894,1.001
2012-01-05,,,0.899,1.001
2012-01-06,,,0.899,0.996
2012-01-09,,,0.903,0.993
2012-01-10,,,0.912,0.999
2012-01-11,,,0.913,0.986
2012-01-12,,,0.918,0.981
2012-01-13,,,0.912,0.969
2012-01-16,,,0.912,0.97
2012-01-17,,,0.914,0.975
2012-01-18,,,0.926,0.991
2012-01-19,,,0.932,0.985
2012-01-20,,,0.931,0.981
2012-01-30,,,0.929,0.994
2012-01-31,,,0.93,0.99
2012-02-01,,,0.941,0.988
2012-02-02,,,0.942,0.993
2012-02-03,,,0.958,1.006
2012-02-06,,,0.957,1.02
2012-02-07,,,0.958,1.029
2012-02-08,,,0.959,1.028
2012-02-09,,,0.961,1.028
2012-02-10,,,0.952,1.019
2012-02-13,,,0.957,1.03
2012-02-14,,,0.956,1.037
2012-02-15,,,0.954,1.044
2012-02-16,,,0.966,1.059
2012-02-17,,,0.967,1.062
2012-02-20,,,0.967,1.062
2012-02-21,,,0.965,1.068
2012-02-22,,,0.961,1.058
2012-02-23,,,0.967,1.073
2012-02-24,,,0.967,1.075
2012-02-27,,,0.968,1.07
2012-02-28,,,0.968,1.059
2012-02-29,,,0.962,1.04
2012-03-01,,,0.969,1.058
2012-03-02,,,0.964,1.037
2012-03-05,,,0.961,1.028
2012-03-06,,,0.944,1.008
2012-03-07,,,0.953,1.026
2012-03-08,,,0.965,1.041
2012-03-09,,,0.968,1.044
2012-03-12,,,0.969,1.035
2012-03-13,,,0.986,1.05
2012-03-14,,,0.984,1.039
2012-03-15,,,0.992,1.046
2012-03-16,,,0.991,1.064
2012-03-19,,,0.991,1.073
2012-03-20,,,0.985,1.051
2012-03-21,,,0.986,1.046
2012-03-22,,,0.976,1.015
2012-03-23,,,0.977,1.032
2012-03-26,,,0.989,1.037
2012-03-27,,,0.986,1.024
2012-03-28,,,0.98,1.006
2012-03-29,,,0.979,0.998
2012-03-30,,,0.983,1.003
2012-04-05,,,0.974,0.981
2012-04-06,,,0.974,0.981
2012-04-09,,,0.961,0.966
2012-04-10,,,0.945,0.942
2012-04-11,,,0.953,0.935
2012-04-12,,,0.968,0.964
2012-04-13,,,0.955,0.942
2012-04-16,,,0.956,0.929
2012-04-17,,,0.968,0.943
2012-04-18,,,0.964,0.932
2012-04-19,,,0.962,0.939
2012-04-20,,,0.963,0.933
2012-04-23,,,0.953,0.929
2012-04-24,,,0.956,0.937
2012-04-25,,,0.967,0.962
2012-04-26,,,0.972,0.977
2012-04-27,,,0.975,0.981
2012-05-02,,,0.973,0.971
2012-05-03,,,0.965,0.947
2012-05-04,,,0.95,0.926
2012-05-07,,,0.952,0.927
2012-05-08,,,0.945,0.925
2012-05-09,,,0.942,0.925
2012-05-10,,,0.945,0.924
2012-05-11,,,0.943,0.913
2012-05-14,,,0.934,0.895
2012-05-15,,,0.928,0.871
2012-05-16,,,0.924,0.865
2012-05-17,,,0.907,0.852
2012-05-18,,,0.899,0.846
2012-05-21,,,0.914,0.882
2012-05-22,,,0.914,0.87
2012-05-23,,,0.919,0.881
2012-05-24,,,0.921,0.869
2012-05-25,,,0.922,0.871
2012-05-28,,,0.922,0.871
2012-05-29,,,0.932,0.894
2012-05-30,,,0.917,0.861
2012-05-31,,,0.915,0.857
2012-06-01,,,0.89,0.817
2012-06-04,,,0.888,0.812
2012-06-05,,,0.895,0.828
2012-06-06,,,0.916,0.858
2012-06-07,,,0.913,0.849
2012-06-08,,,0.92,0.848
2012-06-11,,,0.906,0.823
2012-06-12,,,0.919,0.838
2012-06-13,,,0.91,0.816
2012-06-14,,,0.918,0.833
2012-06-15,,,0.927,0.853
2012-06-18,,,0.927,0.837
2012-06-19,,,0.938,0.855
2012-06-20,,,0.937,0.848
2012-06-21,,,0.915,0.807
2012-06-25,,,0.908,0.809
2012-06-26,,,0.912,0.821
2012-06-27,,,0.921,0.849
2012-06-28,,,0.922,0.86
2012-06-29,,,0.946,0.893
2012-07-02,,,0.946,0.895
2012-07-03,,,0.955,0.924
2012-07-04,,,0.955,0.924
2012-07-05,,,0.951,0.906
2012-07-06,,,0.942,0.895
2012-07-09,,,0.938,0.892
2012-07-10,,,0.927,0.864
2012-07-11,,,0.927,0.876
2012-07-12,,,0.922,0.867
2012-07-13,,,0.937,0.884
2012-07-16,,,0.933,0.888
2012-07-17,,,0.939,0.901
2012-07-18,,,0.946,0.907
2012-07-19,,,0.949,0.914
2012-07-20,,,0.937,0.913
2012-07-23,,,0.93,0.895
2012-07-24,,,0.921,0.876
2012-07-25,,,0.922,0.873
2012-07-26,,,0.937,0.889
2012-07-27,,,0.956,0.911
2012-07-30,,,0.953,0.918
2012-07-31,,,0.948,0.905
2012-08-01,,,0.944,0.906
2012-08-02,,,0.938,0.875
2012-08-03,,,0.958,0.899
2012-08-06,,,0.96,0.911
2012-08-07,,,0.969,0.932
2012-08-08,,,0.972,0.933
2012-08-09,,,0.974,0.944
2012-08-10,,,0.976,0.942
2012-08-13,,,0.974,0.93
2012-08-14,,,0.973,0.94
2012-08-15,,,0.977,0.946
2012-08-16,,,0.985,0.958
2012-08-17,,,0.986,0.955
2012-08-20,,,0.985,0.949
2012-08-21,,1.0,0.983,0.945
2012-08-22,,1.0,0.981,0.945
2012-08-23,,1.0,0.972,0.924
2012-08-24,,1.0,0.977,0.93
2012-08-27,,1.0,0.976,0.933
2012-08-28,,1.0,0.976,0.941
2012-08-29,,1.0,0.978,0.934
2012-08-30,,1.0,0.971,0.919
2012-08-31,,1.001,0.976,0.93
2012-09-03,,1.001,0.976,0.929
2012-09-04,,1.001,0.974,0.929
2012-09-05,,1.001,0.974,0.932
2012-09-06,,1.001,0.994,0.955
2012-09-07,,1.001,0.999,0.978
2012-09-10,,1.001,0.994,0.969
2012-09-11,,1.001,0.999,0.988
2012-09-12,,1.001,1.002,0.993
2012-09-13,,1.001,1.016,1.013
2012-09-14,,1.002,1.023,1.037
2012-09-17,,1.002,1.015,1.021
2012-09-18,,1.002,1.013,1.003
2012-09-19,,1.002,1.016,0.997
2012-09-20,,1.002,1.013,0.999
2012-09-21,,1.002,1.013,1.005
2012-09-24,,1.002,1.009,0.993
2012-09-25,,1.002,0.997,0.979
2012-09-26,,1.002,0.992,0.963
2012-09-27,,1.002,1.001,0.984
2012-09-28,,1.003,0.997,0.981
2012-10-08,,1.003,1.009,0.976
2012-10-09,,1.003,1.0,0.991
2012-10-10,,1.003,0.994,0.976
2012-10-11,,1.003,0.997,0.987
2012-10-12,,1.004,0.991,0.976
2012-10-15,,1.004,0.995,0.973
2012-10-16,,1.004,1.006,0.99
2012-10-17,,1.004,1.009,1.002
2012-10-18,,1.004,1.008,1.0
2012-10-19,,1.005,0.993,0.982
2012-10-22,,1.005,0.992,0.97
2012-10-23,,1.005,0.981,0.945
2012-10-24,,1.005,0.976,0.931
2012-10-25,,1.005,0.979,0.938
2012-10-26,,1.007,0.978,0.943
2012-10-29,,1.007,0.978,0.942
2012-10-30,,1.007,0.978,0.943
2012-10-31,,1.007,0.979,0.94
2012-11-01,,1.008,0.992,0.949
2012-11-02,,1.008,0.983,0.933
2012-11-05,,1.008,0.987,0.944
2012-11-06,,1.007,0.995,0.957
2012-11-07,,1.007,0.975,0.923
2012-11-08,,1.007,0.963,0.905
2012-11-09,,1.006,0.963,0.906
2012-11-12,,1.006,0.962,0.899
2012-11-13,,1.005,0.959,0.9
2012-11-14,,1.005,0.946,0.891
2012-11-15,,1.004,0.946,0.887
2012-11-16,,1.005,0.952,0.894
2012-11-19,,1.006,0.969,0.923
2012-11-20,,1.005,0.968,0.92
2012-11-21,,1.006,0.97,0.925
2012-11-22,,1.007,0.97,0.925
