Date,050002.OF,159915.OF,165511.OF
2012-01-04,0.6339,0.709,0.684
2012-01-05,0.6282,0.6693,0.659
2012-01-06,0.6318,0.6715,0.66
2012-01-09,0.652,0.6953,0.687
2012-01-10,0.6723,0.7193,0.715
2012-01-11,0.6692,0.7207,0.715
2012-01-12,0.6692,0.7127,0.715
2012-01-13,0.6586,0.6689,0.695
2012-01-16,0.6456,0.6368,0.678
2012-01-17,0.6758,0.6655,0.709
2012-01-18,0.6658,0.6278,0.697
2012-01-19,0.678,0.6356,0.704
2012-01-20,0.6875,0.6492,0.712
2012-01-30,0.676,0.6539,0.707
2012-01-31,0.6769,0.6514,0.707
2012-02-01,0.6676,0.6535,0.702
2012-02-02,0.6826,0.668,0.714
2012-02-03,0.6877,0.6826,0.726
2012-02-06,0.6872,0.689,0.73
2012-02-07,0.675,0.6762,0.719
2012-02-08,0.6934,0.6948,0.737
2012-02-09,0.6935,0.7002,0.742
2012-02-10,0.6946,0.7013,0.722
2012-02-13,0.6941,0.7173,0.729
2012-02-14,0.6914,0.7147,0.729
2012-02-15,0.6985,0.7271,0.741
2012-02-16,0.695,0.7241,0.742
2012-02-17,0.6952,0.7201,0.738
2012-02-20,0.696,0.7233,0.74
2012-02-21,0.7014,0.7391,0.748
2012-02-22,0.7105,0.7617,0.763
2012-02-23,0.7127,0.759,0.768
2012-02-24,0.7236,0.7644,0.778
2012-02-27,0.7258,0.7624,0.779
2012-02-28,0.7274,0.7498,0.775
2012-02-29,0.72,0.7371,0.764
2012-03-01,0.7197,0.7449,0.767
2012-03-02,0.7318,0.7593,0.783
2012-03-05,0.7271,0.7612,0.783
2012-03-06,0.7162,0.7527,0.775
2012-03-07,0.7115,0.7511,0.772
2012-03-08,0.7203,0.7634,0.784
2012-03-09,0.7279,0.7793,0.795
2012-03-12,0.7252,0.7878,0.8
2012-03-13,0.7322,0.794,0.808
2012-03-14,0.7125,0.7582,0.774
2012-03-15,0.7075,0.7482,0.767
2012-03-16,0.7175,0.7672,0.786
2012-03-19,0.7191,0.781,0.794
2012-03-20,0.7072,0.7572,0.779
2012-03-21,0.708,0.7534,0.782
2012-03-22,0.7071,0.7525,0.779
2012-03-23,0.699,0.7396,0.765
2012-03-26,0.6997,0.7389,0.765
2012-03-27,0.6974,0.7375,0.764
2012-03-28,0.6786,0.7006,0.732
2012-03-29,0.6702,0.6864,0.719
2012-03-30,0.6733,0.6812,0.718
2012-04-05,0.6884,0.7002,0.739
2012-04-06,0.6904,0.7042,0.743
2012-04-09,0.6838,0.6925,0.735
2012-04-10,0.6902,0.6998,0.743
2012-04-11,0.6903,0.7013,0.746
2012-04-12,0.7036,0.7158,0.761
2012-04-13,0.706,0.7217,0.768
2012-04-16,0.7042,0.719,0.77
2012-04-17,0.696,0.7121,0.759
2012-04-18,0.711,0.7263,0.775
2012-04-19,0.71,0.728,0.774
2012-04-20,0.718,0.7315,0.781
2012-04-23,0.7125,0.6935,0.772
2012-04-24,0.7123,0.6847,0.766
2012-04-25,0.7178,0.6856,0.778
2012-04-26,0.7193,0.6821,0.776
2012-04-27,0.718,0.689,0.768
2012-05-02,0.7329,0.6973,0.778
2012-05-03,0.735,0.7031,0.78
2012-05-04,0.7413,0.7171,0.785
2012-05-07,0.742,0.7371,0.789
2012-05-08,0.7397,0.7359,0.789
2012-05-09,0.7264,0.7236,0.775
2012-05-10,0.7264,0.7317,0.776
2012-05-11,0.7212,0.7258,0.774
2012-05-14,0.7157,0.7245,0.774
2012-05-15,0.7162,0.7248,0.771
2012-05-16,0.7051,0.7148,0.764
2012-05-17,0.7153,0.7213,0.775
2012-05-18,0.7049,0.7114,0.765
2012-05-21,0.7083,0.71,0.763
2012-05-22,0.7188,0.72,0.772
2012-05-23,0.7161,0.7185,0.769
2012-05-24,0.7105,0.718,0.763
2012-05-25,0.7046,0.7082,0.755
2012-05-28,0.7157,0.7121,0.765
2012-05-29,0.725,0.7263,0.776
2012-05-30,0.7228,0.7333,0.778
2012-05-31,0.7207,0.7408,0.78
2012-06-01,0.7213,0.7407,0.777
2012-06-04,0.7017,0.7236,0.753
2012-06-05,0.7016,0.7225,0.752
2012-06-06,0.7012,0.7217,0.749
2012-06-07,0.6981,0.7179,0.746
2012-06-08,0.6938,0.7204,0.745
2012-06-11,0.7035,0.7411,0.756
2012-06-12,0.6995,0.7419,0.75
2012-06-13,0.7105,0.7531,0.761
2012-06-14,0.7057,0.7475,0.758
2012-06-15,0.7077,0.7488,0.76
2012-06-18,0.7114,0.7595,0.767
2012-06-19,0.7054,0.7542,0.762
2012-06-20,0.704,0.7552,0.759
2012-06-21,0.6932,0.746,0.748
2012-06-25,0.6788,0.7276,0.729
2012-06-26,0.6797,0.7229,0.729
2012-06-27,0.6779,0.7258,0.725
2012-06-28,0.6728,0.718,0.713
2012-06-29,0.6823,0.7332,0.721
2012-07-02,0.6836,0.747,0.727
2012-07-03,0.6846,0.7497,0.728
2012-07-04,0.6837,0.7454,0.725
2012-07-05,0.6752,0.7302,0.708
2012-07-06,0.6869,0.7431,0.72
2012-07-09,0.6719,0.7281,0.701
2012-07-10,0.6694,0.7193,0.695
2012-07-11,0.6748,0.7251,0.702
2012-07-12,0.6813,0.7401,0.712
2012-07-13,0.6819,0.7316,0.708
2012-07-16,0.6684,0.6972,0.683
2012-07-17,0.6723,0.7028,0.688
2012-07-18,0.6723,0.7079,0.694
2012-07-19,0.6755,0.7149,0.702
2012-07-20,0.6686,0.712,0.699
2012-07-23,0.6598,0.7103,0.693
2012-07-24,0.6627,0.7121,0.697
2012-07-25,0.6585,0.714,0.692
2012-07-26,0.6551,0.7124,0.688
2012-07-27,0.6553,0.7092,0.685
2012-07-30,0.6518,0.6941,0.671
2012-07-31,0.6513,0.6826,0.659
2012-08-01,0.6582,0.6951,0.669
2012-08-02,0.6517,0.6966,0.664
2012-08-03,0.6566,0.7175,0.677
2012-08-06,0.665,0.7359,0.691
2012-08-07,0.6657,0.7415,0.698
2012-08-08,0.666,0.7355,0.696
2012-08-09,0.6719,0.7486,0.705
2012-08-10,0.6686,0.7485,0.704
2012-08-13,0.6559,0.733,0.689
2012-08-14,0.6573,0.7417,0.695
2012-08-15,0.6506,0.7351,0.688
